.structTerrainEntry 0,MapEdge,Peak,Thicket,Cliff,Plains,Forest,Sea,River,Mountain,SandyLand,Castle,Fort,House1,Gate,Unknown1,Wasteland,Bridge,Lake,Village,Ruins,Unknown2,Unknown3,Supply,Church1,House2,Road,Armory,Vendor,Arena,Floor,Unknown4,Throne,Door,Chest1,Exit,Pillar,Drawbridge,SecretShop,Unknown5,SandySoil,MagicFloor1,MagicFloor2,Church2,Chest2
Tier1MountedMove,-1,-1,-1,-1,1,3,-1,-1,-1,4,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1
Tier2MountedMove,-1,-1,-1,-1,1,3,-1,-1,3,4,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1
FlyingMove,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,-1,1,1
InfantryMove,-1,-1,-1,-1,1,2,-1,-1,2,2,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,2,-1,1,-1,1,1,1,1,1
ArmorMove,-1,-1,-1,-1,1,2,-1,-1,-1,3,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,2,-1,1,-1,1,1,1,1,1
UnusedMove,-1,-1,-1,-1,1,2,-1,-1,2,2,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,2,-1,1,-1,1,1,1,1,1
BrigandMove,-1,-1,-1,-1,1,2,-1,-1,2,3,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,2,-1,1,-1,1,1,1,1,1
BerserkerMove,-1,-1,5,-1,1,2,-1,-1,2,2,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,2,-1,1,-1,1,1,1,1,1
PirateMove,-1,-1,-1,-1,1,2,4,4,2,2,-1,1,1,1,-1,1,1,4,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,2,-1,1,-1,1,1,1,1,1
LightInfantryMove,-1,-1,-1,-1,1,2,-1,-1,2,2,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,2,-1,1,-1,1,1,1,1,1
MageMove,-1,-1,-1,-1,1,2,-1,-1,2,2,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,2,-1,1,-1,1,1,1,1,1
ThiefMove,-1,-1,-1,-1,1,2,-1,-1,2,2,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,2,-1,1,-1,1,1,1,1,1
CivilianMove,-1,-1,-1,-1,1,2,-1,-1,2,2,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,2,-1,1,-1,1,1,1,1,1
BallisticianMove,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DarkPrinceMove,-1,-1,-1,-1,1,2,-1,-1,2,2,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,2,-1,1,-1,1,1,1,1,1
